elapsed_s	count	RSS_MB	event
0.0	0	64.3	start(idle)
9.0	500	70.1	progress
18.2	1000	72.6	progress
27.3	1500	74.9	progress
36.5	2000	77.6	progress
45.9	2500	79.9	progress
55.3	3000	127.4	progress
64.7	3500	129.8	progress
74.2	4000	132.3	progress
83.3	4500	134.7	progress
92.6	5000	137.0	progress
92.6	5000	137.0	STEADY_MARK
101.9	5500	139.5	progress
111.3	6000	141.9	progress
120.7	6500	220.1	progress
130.1	7000	222.6	progress
139.5	7500	224.8	progress
148.6	8000	227.3	progress
157.9	8500	230.1	progress
167.3	9000	232.1	progress
176.4	9500	273.2	progress
185.7	10000	275.6	progress
185.7	10000	275.6	STEADY_MARK
185.7	10000	275.6	fill_done
235.7	-	282.1	idle_change
265.7	-	282.1	final
PEAK_MB 373.0
REQUESTS 10000 ERRORS 0
