elapsed_s	count	RSS_MB	event
0.0	0	63.6	start(idle)
9.0	500	69.4	progress
18.1	1000	71.8	progress
27.4	1500	74.3	progress
36.6	2000	76.6	progress
45.9	2500	79.0	progress
55.2	3000	81.5	progress
64.5	3500	116.9	progress
73.9	4000	119.3	progress
83.2	4500	121.8	progress
92.5	5000	124.2	progress
92.5	5000	124.2	STEADY_MARK
101.8	5500	126.7	progress
111.1	6000	129.1	progress
120.3	6500	171.0	progress
129.4	7000	154.1	progress
138.7	7500	156.4	progress
148.1	8000	158.8	progress
157.3	8500	161.7	progress
166.6	9000	163.7	progress
175.9	9500	166.1	progress
185.3	10000	178.9	progress
185.3	10000	178.9	STEADY_MARK
185.3	10000	178.9	fill_done
241.3	-	209.0	idle_change
243.3	-	179.1	idle_change
275.3	-	179.1	final
PEAK_MB 223.9
REQUESTS 10000 ERRORS 0
